id,title,description,link,image_link,availability,price,brand,condition,gtin,mpn,identifier_exists,google_product_category,product_type
TK4100,TK4100 Proximity ID Thin Card Blank (10 pcs),"Pack of 10 TK4100 proximity thin cards, blank, no serial.",https://nahamtech.org/product/tk4100-thin-blank,https://img.nahamtech.org/products/accessories/TK4100-Proximity-ID-Thin-Card-Blank-without-serial.jpeg,in_stock,20.00 SAR,ZKTeco,new,,TK4100,yes,Electronics > Access Control,Accessories > NFC Cards
TK4100LN,TK4100 Proximity ID Thin Card with Long Serial (10 pcs),Pack of 10 TK4100 proximity thin cards with long serial number.,https://nahamtech.org/product/tk4100-long-serial,https://img.nahamtech.org/products/accessories/blank-white-card-long-serial.jpg,in_stock,20.00 SAR,ZKTeco,new,,TK4100LN,yes,Electronics > Access Control,Accessories > NFC Cards
TK4100SN,TK4100 Proximity ID Thin Card with Short Serial (10 pcs),Pack of 10 TK4100 proximity thin cards with short serial number.,https://nahamtech.org/product/tk4100-short-serial,https://img.nahamtech.org/products/accessories/blank-white-card-short-serial.jpg,in_stock,20.00 SAR,ZKTeco,new,,TK4100SN,yes,Electronics > Access Control,Accessories > NFC Cards
QW2120-BKK1S,Datalogic QuickScan Lite QW2100 1D Barcode Scanner,Wired 1D barcode scanner by Datalogic.,https://nahamtech.org/product/datalogic-qw2100,https://img.nahamtech.org/products/barcode-scanners/data-logic-barcode-scanner-1.jpg,out_of_stock,180.00 SAR,Datalogic,new,,QW2120-BKK1S,yes,Electronics > Barcode Scanners,POS > Barcode Scanners
QW2420-BKK1S,Datalogic QuickScan Lite QW2420 2D Barcode Scanner,Wired 2D barcode scanner by Datalogic.,https://nahamtech.org/product/datalogic-qw2420,https://img.nahamtech.org/products/barcode-scanners/data-logic-barcode-scanner-1.jpg,out_of_stock,300.00 SAR,Datalogic,new,,QW2420-BKK1S,yes,Electronics > Barcode Scanners,POS > Barcode Scanners
QW2520-BKK1S,Datalogic QuickScan QW2500 2D Barcode Scanner,Wired 2D barcode scanner by Datalogic.,https://nahamtech.org/product/datalogic-qw2500,https://img.nahamtech.org/products/barcode-scanners/data-logic-barcode-scanner-1.jpg,in_stock,350.00 SAR,Datalogic,new,,QW2520-BKK1S,yes,Electronics > Barcode Scanners,POS > Barcode Scanners
MK7120-31A38,Honeywell Orbit 7120 Omnidirectional Barcode Scanner,Omnidirectional hands-free 1D barcode scanner by Honeywell.,https://nahamtech.org/product/honeywell-orbit-7120,https://img.nahamtech.org/products/barcode-scanners/honeywell-barcode-scanner-MK7120-31A38.jpg,in_stock,337.00 SAR,Honeywell,new,,MK7120-31A38,yes,Electronics > Barcode Scanners,POS > Barcode Scanners
1470G2D-2USB-1-R,Honeywell Voyager XP 1470g 2D Barcode Scanner,Wired 2D barcode scanner by Honeywell.,https://nahamtech.org/product/honeywell-1470g,https://img.nahamtech.org/products/barcode-scanners/honewell1470g-barcode-scanner-1.jpg,in_stock,320.00 SAR,Honeywell,new,,1470G2D-2USB-1-R,yes,Electronics > Barcode Scanners,POS > Barcode Scanners
1250G-2USB-1,Honeywell 1250g Laser 1D Barcode Scanner,Wired laser 1D barcode scanner by Honeywell.,https://nahamtech.org/product/honeywell-1250g,https://img.nahamtech.org/products/barcode-scanners/honeywell-1250g.jpg,in_stock,225.00 SAR,Honeywell,new,,1250G-2USB-1,yes,Electronics > Barcode Scanners,POS > Barcode Scanners
1472G2D-2USB-5-R,Honeywell Voyager XP 1472g Wireless 2D Barcode Scanner,Wireless 2D barcode scanner by Honeywell with Bluetooth.,https://nahamtech.org/product/honeywell-1472g,https://img.nahamtech.org/products/barcode-scanners/honeywell-1472g.jpg,in_stock,650.00 SAR,Honeywell,new,,1472G2D-2USB-5-R,yes,Electronics > Barcode Scanners,POS > Barcode Scanners
PRO-V6258,PRO-V 6258 2D Wired Barcode Scanner,Wired 2D barcode scanner by PRO-V.,https://nahamtech.org/product/prov-6258,https://img.nahamtech.org/products/barcode-scanners/PRO-V-6258.jpg,in_stock,92.00 SAR,PRO-V,new,,PRO-V6258,yes,Electronics > Barcode Scanners,POS > Barcode Scanners
PRO-V6221RB,PRO-V 6221RB Wireless Bluetooth Barcode Scanner,Wireless Bluetooth barcode scanner by PRO-V.,https://nahamtech.org/product/prov-6221rb,https://img.nahamtech.org/products/barcode-scanners/PRO-V-6221RB_1.jpg,in_stock,200.00 SAR,PRO-V,new,,PRO-V6221RB,yes,Electronics > Barcode Scanners,POS > Barcode Scanners
HDD-518W,Price Checker HDD-518W Windows,Windows-based price checker kiosk device.,https://nahamtech.org/product/price-checker-518w,https://img.nahamtech.org/products/barcode-scanners/master-price-checker.png,in_stock,1500.00 SAR,,new,,HDD-518W,yes,Electronics > POS Equipment,POS > Barcode Scanners
PRO-V6266MBT,PRO-V 6266MBT Wireless 2D Barcode Scanner,Wireless 2D barcode scanner with Bluetooth.,https://nahamtech.org/product/prov-6266mbt,https://img.nahamtech.org/products/barcode-scanners/PRO-V6266MBT.jpg,in_stock,340.00 SAR,PRO-V,new,,PRO-V6266MBT,yes,Electronics > Barcode Scanners,POS > Barcode Scanners
UNS-5320R,Uniscan UNS-5320R Wireless 2D Barcode Scanner,Wireless 2D barcode scanner by Uniscan.,https://nahamtech.org/product/uniscan-5320r,https://img.nahamtech.org/products/barcode-scanners/UniScan-UNS-5320R.jpg,out_of_stock,350.00 SAR,Uniscan,new,,UNS-5320R,yes,Electronics > Barcode Scanners,POS > Barcode Scanners
LS2208,Zebra LS2208 Laser 1D Barcode Scanner,Wired laser 1D barcode scanner by Zebra.,https://nahamtech.org/product/zebra-ls2208,https://img.nahamtech.org/products/barcode-scanners/Zebra-LI2208_1-LS2208_1.jpg,in_stock,210.00 SAR,Zebra,new,,LS2208-SR20007R-UR,yes,Electronics > Barcode Scanners,POS > Barcode Scanners
PRO-V8602H,PRO-V 8602H Desktop 2D Barcode Scanner,Desktop presentation 2D barcode scanner.,https://nahamtech.org/product/prov-8602h,https://img.nahamtech.org/products/barcode-scanners/PRO-V-8602H.png,in_stock,218.00 SAR,PRO-V,new,,PRO-V8602H,yes,Electronics > Barcode Scanners,POS > Barcode Scanners
LI2208,Zebra LI2208 Linear 1D Barcode Scanner,Wired linear 1D barcode scanner by Zebra.,https://nahamtech.org/product/zebra-li2208,https://img.nahamtech.org/products/barcode-scanners/Zebra-LI2208_1-LS2208_1.jpg,out_of_stock,180.00 SAR,Zebra,new,,LI2208-SR7U2100SGW,yes,Electronics > Barcode Scanners,POS > Barcode Scanners
CBA-U01-S07ZAR,Zebra USB Cable CBA-U01-S07ZAR,USB cable for Zebra barcode scanners.,https://nahamtech.org/product/zebra-usb-cable,,in_stock,150.00 SAR,Zebra,new,,CBA-U01-S07ZAR,yes,Electronics > Cables,Accessories
DS9308,Zebra DS9308 Desktop 2D Barcode Scanner,Desktop presentation 2D barcode scanner by Zebra.,https://nahamtech.org/product/zebra-ds9308,https://img.nahamtech.org/products/barcode-scanners/zebra-ds9308.jpg,in_stock,400.00 SAR,Zebra,new,,DS9308-SR4U2100AZE,yes,Electronics > Barcode Scanners,POS > Barcode Scanners
DS2208,Zebra DS2208 2D Barcode Scanner (with Stand),"Wired 2D barcode scanner by Zebra, includes stand.",https://nahamtech.org/product/zebra-ds2208,https://img.nahamtech.org/products/barcode-scanners/Zebra-DS2208_1.jpg,in_stock,350.00 SAR,Zebra,new,,DS2208-SR7U2100SGW,yes,Electronics > Barcode Scanners,POS > Barcode Scanners
DS2278,Zebra DS2278 Wireless 2D Barcode Scanner,Wireless 2D barcode scanner by Zebra.,https://nahamtech.org/product/zebra-ds2278,https://img.nahamtech.org/products/barcode-scanners/zebra-ds2278_1.jpg,in_stock,670.00 SAR,Zebra,new,,DS2278-SR7U2100PRW,yes,Electronics > Barcode Scanners,POS > Barcode Scanners
AL-280PL,ZKTeco AL-280PL Mounting Bracket (Interior Doors),L-shaped mounting bracket for ZKTeco magnetic locks.,https://nahamtech.org/product/zkteco-al280pl,https://img.nahamtech.org/products/ZKTeco/AL-280PZ_AL-280PL.jpg,in_stock,30.00 SAR,ZKTeco,new,,AL-280PL,yes,Electronics > Access Control,Security > Access Control
AL-280PU,ZKTeco AL-280PU Mounting Bracket (Glass Doors),U-shaped mounting bracket for glass door installation.,https://nahamtech.org/product/zkteco-al280pu,https://img.nahamtech.org/products/ZKTeco/AL-280PU.jpg,in_stock,35.00 SAR,ZKTeco,new,,AL-280PU,yes,Electronics > Access Control,Security > Access Control
AL-280PZ,ZKTeco AL-280PZ Mounting Bracket (Z-Shape),Z-shaped mounting bracket for ZKTeco magnetic locks.,https://nahamtech.org/product/zkteco-al280pz,https://img.nahamtech.org/products/ZKTeco/AL-280PZ_AL-280PL.jpg,in_stock,40.00 SAR,ZKTeco,new,,AL-280PZ,yes,Electronics > Access Control,Security > Access Control
FR1200,ZKTeco FR1200 Slave Fingerprint Reader,External fingerprint and RFID reader for access control panels.,https://nahamtech.org/product/zkteco-fr1200,https://img.nahamtech.org/products/ZKTeco/fr1200.png,in_stock,270.00 SAR,ZKTeco,new,,FR1200,yes,Electronics > Access Control,Security > Access Control
GL300,ZKTeco GL300 Smart Glass Door Lock,"Smart lock for frameless glass doors with fingerprint, RFID and PIN.",https://nahamtech.org/product/zkteco-gl300,https://img.nahamtech.org/products/ZKTeco/GL300.jpeg,in_stock,550.00 SAR,ZKTeco,new,,GL300,yes,Electronics > Access Control > Door Locks,Security > Access Control
UA760,ZKTeco UA760 Time Attendance (Finger + Card + WiFi),"Time attendance terminal with fingerprint, RFID card, PIN and WiFi.",https://nahamtech.org/product/zkteco-ua760,https://img.nahamtech.org/products/ZKTeco/UA760.jpeg,in_stock,360.00 SAR,ZKTeco,new,,UA760,yes,Electronics > Access Control,Time Attendance > Fingerprint Devices
MB10,ZKTeco MB10 Time Attendance (Face + Fingerprint),Compact multi-biometric terminal with face and fingerprint recognition.,https://nahamtech.org/product/zkteco-mb10,https://img.nahamtech.org/products/ZKTeco/MB10.png,in_stock,250.00 SAR,ZKTeco,new,,MB10,yes,Electronics > Access Control,Time Attendance > Fingerprint Devices
UFACE800,ZKTeco UFace800 Time Attendance (Face + Finger + Card + PIN),"Multi-biometric terminal with 8-inch touchscreen. Face, fingerprint, card and PIN.",https://nahamtech.org/product/zkteco-uface800,https://img.nahamtech.org/products/ZKTeco/uFace-800-1.jpg,in_stock,810.00 SAR,ZKTeco,new,,UFACE800,yes,Electronics > Access Control,Time Attendance > Face Recognition
F18,ZKTeco F18 Access Control (Fingerprint + Card + PIN),"Biometric access control device with fingerprint, RFID card and password.",https://nahamtech.org/product/zkteco-f18,https://img.nahamtech.org/products/ZKTeco/F18_1.jpg,in_stock,450.00 SAR,ZKTeco,new,,F18,yes,Electronics > Access Control,Security > Access Control
UFACE-METAL-BOX,ZKTeco UFace Metal Box,Protective metal enclosure for ZKTeco UFace series devices.,https://nahamtech.org/product/zkteco-uface-metalbox,https://img.nahamtech.org/products/ZKTeco/uface-metal-box.png,in_stock,250.00 SAR,ZKTeco,new,,UFACE METAL BOX,yes,Electronics > Access Control,Accessories
BATTERY-UFACE,ZKTeco UFace Backup Battery,Backup battery for ZKTeco UFace series devices.,https://nahamtech.org/product/zkteco-uface-battery,https://img.nahamtech.org/products/ZKTeco/BATTERY-UFACE.jpg,out_of_stock,120.00 SAR,ZKTeco,new,,BATTERY-UFACE,yes,Electronics > Access Control,Accessories
TLEB101,ZKTeco TLEB101 Touchless Exit Button,Infrared touchless exit button for access control.,https://nahamtech.org/product/zkteco-tleb101,https://img.nahamtech.org/products/ZKTeco/TLEB101.jpg,in_stock,50.00 SAR,ZKTeco,new,,TLEB101,yes,Electronics > Access Control,Security > Access Control
ZK4500,ZKTeco ZK4500 USB Fingerprint Scanner,USB fingerprint reader for enrollment and verification.,https://nahamtech.org/product/zkteco-zk4500,https://img.nahamtech.org/products/ZKTeco/ZK4500.png,out_of_stock,250.00 SAR,ZKTeco,new,,ZK4500,yes,Electronics > Access Control,Time Attendance > Fingerprint Devices
SPEEDFACE-V5L-WIFI,ZKTeco SpeedFace V5L WiFi (Face + Palm + PIN),"Advanced biometric terminal with face, palm vein and PIN recognition. WiFi enabled.",https://nahamtech.org/product/zkteco-speedface-v5l-wifi,https://img.nahamtech.org/products/ZKTeco/SPEEDFACE-V5L-WIFI.png,in_stock,950.00 SAR,ZKTeco,new,,SPEEDFACE-V5L-WIFI,yes,Electronics > Access Control,Time Attendance > Face Recognition
MB2000,ZKTeco MB2000 Time Attendance (Face + Fingerprint),Multi-biometric terminal with face and fingerprint recognition.,https://nahamtech.org/product/zkteco-mb2000,https://img.nahamtech.org/products/ZKTeco/MB2000_1.png,in_stock,450.00 SAR,ZKTeco,new,,MB2000,yes,Electronics > Access Control,Time Attendance > Face Recognition
SPEEDFACE-M4,ZKTeco SpeedFace M4 (Face + Palm + PIN),Biometric terminal with face and palm recognition.,https://nahamtech.org/product/zkteco-speedface-m4,https://img.nahamtech.org/products/ZKTeco/SPEEDFACE-M4.jpg,in_stock,900.00 SAR,ZKTeco,new,,SPEEDFACE-M4,yes,Electronics > Access Control,Time Attendance > Face Recognition
SPEEDFACE-M4-WIFI,ZKTeco SpeedFace M4 WiFi (Face + Palm + PIN),Biometric terminal with face and palm recognition. WiFi enabled.,https://nahamtech.org/product/zkteco-speedface-m4-wifi,https://img.nahamtech.org/products/ZKTeco/SPEEDFACE-M4.jpg,in_stock,1100.00 SAR,ZKTeco,new,,SPEEDFACE-M4/WIFI,yes,Electronics > Access Control,Time Attendance > Face Recognition
SLK20R,ZKTeco SLK20R USB Fingerprint Reader,USB live fingerprint scanner with silicone sensor.,https://nahamtech.org/product/zkteco-slk20r,https://img.nahamtech.org/products/ZKTeco/SLK20R.jpg,out_of_stock,240.00 SAR,ZKTeco,new,,SLK20R,yes,Electronics > Access Control,Time Attendance > Fingerprint Devices
U650-C,ZKTeco U650-C Time Attendance,Time attendance terminal with fingerprint and card.,https://nahamtech.org/product/zkteco-u650c,https://img.nahamtech.org/products/ZKTeco/u-650C.png,out_of_stock,500.00 SAR,ZKTeco,new,,U650-C,yes,Electronics > Access Control,Time Attendance > Fingerprint Devices
F22,ZKTeco F22 WiFi Access Control (Fingerprint + Card + PIN),"Biometric access control with WiFi, fingerprint, RFID card and password.",https://nahamtech.org/product/zkteco-f22,https://img.nahamtech.org/products/ZKTeco/F22_1.png,in_stock,330.00 SAR,ZKTeco,new,,F22,yes,Electronics > Access Control,Security > Access Control
UFACE800-WIFI,ZKTeco UFace800 WiFi (Face + Finger + Card + PIN),"Multi-biometric terminal with WiFi. Face, fingerprint, card and PIN.",https://nahamtech.org/product/zkteco-uface800-wifi,https://img.nahamtech.org/products/ZKTeco/uFace-800-1.jpg,in_stock,850.00 SAR,ZKTeco,new,,UFACE800/WIFI,yes,Electronics > Access Control,Time Attendance > Face Recognition
ZK9500,ZKTeco ZK9500 USB Fingerprint Scanner,USB fingerprint reader with optical sensor.,https://nahamtech.org/product/zkteco-zk9500,https://img.nahamtech.org/products/ZKTeco/ZK9500.jpg,in_stock,200.00 SAR,ZKTeco,new,,ZK9500,yes,Electronics > Access Control,Time Attendance > Fingerprint Devices
AL-280-LED,ZKTeco AL-280 LED Magnetic Lock (270 kg),"Electromagnetic lock with LED indicator, 270 kg holding force.",https://nahamtech.org/product/zkteco-al280-led,https://img.nahamtech.org/products/ZKTeco/AL-280_LED.jpeg,in_stock,90.00 SAR,ZKTeco,new,,AL-280 LED,yes,Electronics > Access Control,Security > Access Control
X7,ZKTeco X7 Access Control (Fingerprint + Card + PIN),"Compact access control device with fingerprint, card and PIN.",https://nahamtech.org/product/zkteco-x7,https://img.nahamtech.org/products/ZKTeco/x7.png,in_stock,170.00 SAR,ZKTeco,new,,X7,yes,Electronics > Access Control,Security > Access Control
PRO-V411U,PRO-V411U Barcode Printer (USB),Thermal/thermal transfer barcode label printer with USB.,https://nahamtech.org/product/prov-411u,https://img.nahamtech.org/products/barcode-printers/PRO-V411BU.jpg,in_stock,350.00 SAR,PRO-V,new,,PRO-V411U,yes,Electronics > Print & Scan > Printers,Printers > Barcode Printers
PRO-V411BU,PRO-V411BU Barcode Printer (USB + Bluetooth),Thermal/thermal transfer barcode label printer with USB and Bluetooth.,https://nahamtech.org/product/prov-411bu,https://img.nahamtech.org/products/barcode-printers/PRO-V411BU.jpg,in_stock,450.00 SAR,PRO-V,new,,PRO-V411BU,yes,Electronics > Print & Scan > Printers,Printers > Barcode Printers
ZD22042-T0EG00EZ,Zebra ZD220 Barcode Printer (Thermal Transfer),Desktop barcode label printer by Zebra.,https://nahamtech.org/product/zebra-zd220,https://img.nahamtech.org/products/barcode-printers/zebra-ZD22042-T0EG00EZ.jpg,in_stock,650.00 SAR,Zebra,new,,ZD22042-T0EG00EZ,yes,Electronics > Print & Scan > Printers,Printers > Barcode Printers
ZT41142-T0E0000Z,Zebra ZT411 Industrial Barcode Printer,"Industrial barcode label printer by Zebra, high-volume.",https://nahamtech.org/product/zebra-zt411,https://img.nahamtech.org/products/barcode-printers/ZT41142-T0E0000Z_1.jpg,in_stock,3200.00 SAR,Zebra,new,,ZT41142-T0E0000Z,yes,Electronics > Print & Scan > Printers,Printers > Barcode Printers
ZD23042-30EC00EZ,Zebra ZD230 Barcode Printer (Network),Desktop barcode label printer by Zebra with Ethernet.,https://nahamtech.org/product/zebra-zd230,https://img.nahamtech.org/products/barcode-printers/zebra-ZD23042-30EC00EZ.jpg,in_stock,850.00 SAR,Zebra,new,,ZD23042-30EC00EZ,yes,Electronics > Print & Scan > Printers,Printers > Barcode Printers
GS-2408U,Gainscha GS-2408U Barcode Printer (USB),Desktop barcode label printer by Gainscha with USB.,https://nahamtech.org/product/gainscha-gs2408u,https://img.nahamtech.org/products/barcode-printers/GS-2408U_GS-2408DC.png,in_stock,350.00 SAR,Gainscha,new,,GS-2408U,yes,Electronics > Print & Scan > Printers,Printers > Barcode Printers
GS-2408DC,Gainscha GS-2408DC Barcode Printer (Bluetooth),Desktop barcode label printer by Gainscha with Bluetooth.,https://nahamtech.org/product/gainscha-gs2408dc,https://img.nahamtech.org/products/barcode-printers/GS-2408U_GS-2408DC.png,in_stock,550.00 SAR,Gainscha,new,,GS-2408DC,yes,Electronics > Print & Scan > Printers,Printers > Barcode Printers
EDA52,Honeywell EDA52 Handheld Mobile Computer,"Android 11, 64GB/4GB, 13MP camera, rugged handheld scanner.",https://nahamtech.org/product/honeywell-eda52,https://img.nahamtech.org/products/inventory-and-money-counters/honeywell-inventory.jpg,in_stock,1330.00 SAR,Honeywell,new,,EDA52-11AE64N21RK,yes,Electronics > Barcode Scanners,Inventory > Handheld Computers
TC15,Zebra TC15 Handheld Mobile Computer,"Android rugged handheld, 64GB/4GB, 5G capable.",https://nahamtech.org/product/zebra-tc15,https://img.nahamtech.org/products/inventory-and-money-counters/Zebra-TC15.jpg,in_stock,1400.00 SAR,Zebra,new,,TC15BK-1PE14S-A6,yes,Electronics > Barcode Scanners,Inventory > Handheld Computers
ST-618+,Master ST-618+ Touchscreen POS Terminal,"15-inch touchscreen POS terminal, Intel i5 4th gen.",https://nahamtech.org/product/master-st618plus,https://img.nahamtech.org/products/cashier/master-1.jpg,in_stock,1100.00 SAR,,new,,ST-618+,yes,Electronics > POS Equipment,POS > Cashier Systems
APEXA-CORE,POSBANK APEXA Core Touchscreen POS Terminal,"15-inch POS terminal, Intel i5 11th gen, grey.",https://nahamtech.org/product/posbank-apexa-core,https://img.nahamtech.org/products/cashier/APEXA-TL-1.jpg,in_stock,3500.00 SAR,POSBANK,new,,APEXA CORE,yes,Electronics > POS Equipment,POS > Cashier Systems
